# Total Phase Komodo CAN GUI v1.00
# (c) 2011 Total Phase, Inc.
# www.totalphase.com
#
m:s.ms.us,ID,RTR,DLC,Data
3:21.175.848,0x030,0,8,02 0B 03 04 05 06 07 08 
3:22.176.728,0x030,0,8,02 0C 03 04 05 06 07 08 
3:23.177.606,0x030,0,8,02 0D 03 04 05 06 07 08 
3:23.348.126,0x031,0,8,AA BB CC DD FF 11 22 33 
3:24.178.482,0x030,0,8,02 0E 03 04 05 06 07 08 
3:24.179.441,0x032,0,8,03 0E CC DD FF 11 22 33 
3:25.179.361,0x030,0,8,03 0F 03 04 05 06 07 08 
3:26.180.240,0x030,0,8,03 10 03 04 05 06 07 08 
3:27.181.127,0x030,0,8,03 11 03 04 05 06 07 08 
3:28.182.006,0x030,0,8,03 12 03 04 05 06 07 08 
3:29.182.885,0x030,0,8,03 13 03 04 05 06 07 08 
3:30.183.764,0x030,0,8,03 14 03 04 05 06 07 08 
3:31.184.642,0x030,0,8,03 15 03 04 05 06 07 08 
3:32.185.521,0x030,0,8,03 16 03 04 05 06 07 08 
3:33.186.401,0x030,0,8,03 17 03 04 05 06 07 08 
3:34.187.280,0x030,0,8,03 18 03 04 05 06 07 08 
3:35.188.159,0x030,0,8,03 19 03 04 05 06 07 08 
3:36.189.038,0x030,0,8,03 1A 03 04 05 06 07 08 
3:37.189.916,0x030,0,8,03 1B 03 04 05 06 07 08 
3:38.190.796,0x030,0,8,03 1C 03 04 05 06 07 08 
3:39.191.682,0x030,0,8,03 1D 03 04 05 06 07 08 
3:40.192.561,0x030,0,8,03 1E 03 04 05 06 07 08 
3:41.193.441,0x030,0,8,03 1F 03 04 05 06 07 08 
3:42.194.319,0x030,0,8,03 20 03 04 05 06 07 08 
3:43.195.198,0x030,0,8,03 21 03 04 05 06 07 08 
3:44.196.077,0x030,0,8,03 22 03 04 05 06 07 08 
3:45.196.956,0x030,0,8,03 23 03 04 05 06 07 08 
3:46.197.834,0x030,0,8,03 24 03 04 05 06 07 08 
3:47.198.713,0x030,0,8,03 25 03 04 05 06 07 08 
3:48.199.592,0x030,0,8,03 26 03 04 05 06 07 08 
3:49.200.471,0x030,0,8,03 27 03 04 05 06 07 08 
3:50.201.358,0x030,0,8,03 28 03 04 05 06 07 08 
3:51.202.237,0x030,0,8,03 29 03 04 05 06 07 08 
3:52.203.116,0x030,0,8,03 2A 03 04 05 06 07 08 
3:53.203.994,0x030,0,8,03 2B 03 04 05 06 07 08 
3:54.204.873,0x030,0,8,03 2C 03 04 05 06 07 08 
3:55.205.751,0x030,0,8,03 2D 03 04 05 06 07 08 
3:56.206.630,0x030,0,8,03 2E 03 04 05 06 07 08 
3:57.207.510,0x030,0,8,03 2F 03 04 05 06 07 08 
3:58.208.388,0x030,0,8,03 30 03 04 05 06 07 08 
3:59.209.267,0x030,0,8,03 31 03 04 05 06 07 08 
4:00.210.146,0x030,0,8,03 32 03 04 05 06 07 08 
4:01.211.033,0x030,0,8,03 33 03 04 05 06 07 08 
4:02.211.911,0x030,0,8,03 34 03 04 05 06 07 08 
4:03.212.790,0x030,0,8,03 35 03 04 05 06 07 08 
4:04.213.668,0x030,0,8,03 36 03 04 05 06 07 08 
4:05.214.547,0x030,0,8,03 37 03 04 05 06 07 08 
4:06.215.426,0x030,0,8,03 38 03 04 05 06 07 08 
4:07.216.305,0x030,0,8,03 39 03 04 05 06 07 08 
4:08.217.183,0x030,0,8,03 3A 03 04 05 06 07 08 
4:09.218.062,0x030,0,8,03 3B 03 04 05 06 07 08 
4:10.218.948,0x030,0,8,03 3C 03 04 05 06 07 08 
36789:49.531.993,,,,Error: Read Overflow
36789:49.531.993,,,,Error: Read Overflow
36789:49.531.993,,,,Error: Read Overflow
36789:49.531.993,,,,Error: Read Overflow
36789:49.531.993,,,,Error: Read Overflow
36789:49.531.993,,,,Error: Read Overflow
36789:49.531.993,,,,Error: Read Overflow
36789:49.531.993,,,,Error: Read Overflow
36789:49.531.993,,,,Error: Read Overflow
36789:49.531.993,,,,Error: Read Overflow
36789:49.531.993,,,,Capture stopped on 08/13/24 15:21:18
